Team,Year,Sport,Event,Medal
Germany,2008,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
Germany,1980,Swimming,Swimming Women's 200 metres Butterfly,Silver
Germany,1964,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
Germany,1988,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
Germany,1980,Rowing,Rowing Women's Single Sculls,Bronze
Germany,1988,Athletics,Athletics Men's Discus Throw,Gold
Germany,1992,Athletics,Athletics Men's Discus Throw,Silver
Germany,1964,Boxing,Boxing Men's Middleweight,Silver
Germany,1964,Boxing,Boxing Men's Featherweight,Bronze
Germany,1976,Sailing,Sailing Mixed One Person Dinghy,Gold
Germany,2000,Athletics,Athletics Men's 800 metres,Gold
Germany,1988,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
Germany,1992,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Germany,1996,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Germany,2004,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Germany,2008,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
Germany,1972,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
Germany,1996,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Germany,2012,Athletics,Athletics Women's Heptathlon,Silver
Germany,1952,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Italy,2008,Athletics,Athletics Men's 50 kilometres Walk,Gold
Great Britain,1996,Cycling,"Cycling Men's Road Race, Individual",Bronze
Great Britain,2016,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
Great Britain,2016,Shooting,Shooting Men's Double Trap,Bronze
Italy,1984,Shooting,Shooting Mixed Skeet,Bronze
France,1976,Weightlifting,Weightlifting Men's Lightweight,Silver
Italy,1996,Sailing,Sailing Women's Windsurfer,Bronze
Italy,2000,Sailing,Sailing Women's Windsurfer,Gold
Italy,2004,Sailing,Sailing Women's Windsurfer,Bronze
Italy,2008,Sailing,Sailing Women's Windsurfer,Silver
Belgium,1964,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
France,1960,Athletics,Athletics Men's 200 metres,Bronze
Italy,1956,Rowing,Rowing Men's Coxed Fours,Gold
Great Britain,2008,Sailing,Sailing Women's Windsurfer,Bronze
Great Britain,1956,Fencing,"Fencing Women's Foil, Individual",Gold
Great Britain,1968,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Great Britain,1960,Athletics,Athletics Women's High Jump,Silver
Germany,1988,Athletics,Athletics Women's 100 metres Hurdles,Silver
Germany,1976,Athletics,Athletics Women's Pentathlon,Gold
Germany,1960,Boxing,Boxing Men's Heavyweight,Bronze
Italy,1972,Weightlifting,Weightlifting Men's Middleweight,Bronze
Italy,1976,Athletics,Athletics Women's High Jump,Silver
Italy,1980,Athletics,Athletics Women's High Jump,Gold
Italy,1984,Athletics,Athletics Women's High Jump,Silver
Germany,1960,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
Belgium,2000,Judo,Judo Women's Extra-Lightweight,Bronze
Germany,1988,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Germany,1988,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Great Britain,2016,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Great Britain,2016,Cycling,Cycling Men's Sprint,Silver
Great Britain,1984,Athletics,"Athletics Women's 3,000 metres",Silver
Great Britain,1984,Athletics,Athletics Women's 400 metres,Bronze
Great Britain,1996,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Great Britain,2008,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Great Britain,2012,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
Great Britain,2016,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
Great Britain,1996,Athletics,Athletics Men's High Jump,Bronze
Spain,1996,Judo,Judo Women's Extra-Lightweight,Bronze
Great Britain,2004,Athletics,Athletics Women's Heptathlon,Bronze
France,2008,Boxing,Boxing Men's Lightweight,Silver
Italy,1956,Fencing,"Fencing Men's Foil, Individual",Bronze
Great Britain,1984,Athletics,Athletics Men's Marathon,Bronze
Great Britain,1956,Boxing,Boxing Men's Flyweight,Gold
Germany,1996,Judo,Judo Men's Middleweight,Bronze
Germany,2004,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze
Germany,2008,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold
Germany,2012,Cycling,"Cycling Women's Mountainbike, Cross-Country",Silver
France,1992,Fencing,"Fencing Men's epee, Individual",Gold
Germany,2012,Athletics,Athletics Women's Javelin Throw,Bronze
Germany,1988,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
Great Britain,1972,Judo,Judo Men's Half-Heavyweight,Silver
Great Britain,1976,Judo,Judo Men's Half-Heavyweight,Bronze
Great Britain,1988,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Italy,1984,Boxing,Boxing Men's Bantamweight,Gold
Germany,1972,Athletics,Athletics Women's 100 metres,Gold
Germany,1972,Athletics,Athletics Women's 200 metres,Gold
Germany,1976,Athletics,Athletics Women's 100 metres,Silver
Germany,1976,Athletics,Athletics Women's 200 metres,Bronze
Germany,2008,Swimming,Swimming Women's 50 metres Freestyle,Gold
Germany,2008,Swimming,Swimming Women's 100 metres Freestyle,Gold
Germany,2004,Trampolining,Trampolining Men's Individual,Bronze
Germany,1968,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Germany,2008,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Germany,1988,Weightlifting,Weightlifting Men's Middleweight,Silver
Germany,1988,Swimming,Swimming Women's 200 metres Freestyle,Bronze
Belgium,1960,Cycling,Cycling Men's Sprint,Silver
Great Britain,1992,Judo,Judo Men's Half-Heavyweight,Silver
Great Britain,2008,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Great Britain,1960,Swimming,Swimming Women's 100 metres Freestyle,Bronze
Great Britain,1960,Swimming,Swimming Women's 100 metres Backstroke,Silver
Great Britain,1988,Judo,Judo Men's Half-Heavyweight,Bronze
Great Britain,1972,Athletics,"Athletics Men's 5,000 metres",Bronze
Germany,1988,Judo,Judo Men's Heavyweight,Silver
Germany,1980,Athletics,"Athletics Women's 1,500 metres",Silver
Germany,1952,Athletics,Athletics Men's Hammer Throw,Silver
Germany,2012,Athletics,Athletics Men's Shot Put,Silver
Germany,1980,Athletics,"Athletics Men's 1,500 metres",Silver
Germany,1988,Swimming,Swimming Women's 800 metres Freestyle,Silver
Great Britain,1984,Athletics,Athletics Women's 100 metres Hurdles,Silver
Germany,1976,Athletics,Athletics Women's 400 metres,Bronze
Germany,1956,Athletics,Athletics Women's 100 metres,Silver
Germany,1956,Athletics,Athletics Women's 200 metres,Silver
Great Britain,1984,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
Italy,2008,Fencing,"Fencing Men's epee, Individual",Gold
Germany,2004,Boxing,Boxing Men's Featherweight,Bronze
France,1976,Fencing,"Fencing Men's Foil, Individual",Bronze
Germany,2012,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
Germany,1976,Swimming,Swimming Women's 200 metres Butterfly,Silver
Germany,1976,Swimming,Swimming Women's 400 metres Individual Medley,Gold
Great Britain,2004,Diving,Diving Men's Synchronized Platform,Silver
France,1992,Judo,Judo Men's Middleweight,Silver
France,2012,Judo,Judo Women's Half-Heavyweight,Bronze
France,2016,Judo,Judo Women's Half-Heavyweight,Silver
France,1980,Judo,Judo Men's Half-Middleweight,Bronze
Germany,1956,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
France,2008,Shooting,Shooting Men's Skeet,Bronze
Great Britain,1992,Archery,Archery Men's Individual,Bronze
Italy,2012,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
Germany,1988,Boxing,Boxing Men's Flyweight,Silver
Germany,1992,Boxing,Boxing Men's Featherweight,Gold
Germany,2000,Swimming,Swimming Men's 100 metres Backstroke,Bronze
Belgium,2016,Athletics,Athletics Women's Heptathlon,Gold
Germany,1952,Equestrianism,"Equestrianism Men's Jumping, Individual",Bronze
Germany,2012,Judo,Judo Women's Middleweight,Silver
France,2000,Boxing,Boxing Men's Flyweight,Bronze
France,2004,Boxing,Boxing Men's Flyweight,Silver
Great Britain,1980,Athletics,Athletics Men's Decathlon,Gold
Great Britain,1984,Athletics,Athletics Men's Decathlon,Gold
Great Britain,1960,Athletics,Athletics Men's 50 kilometres Walk,Gold
Germany,1980,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Germany,1976,Swimming,Swimming Women's 400 metres Freestyle,Gold
Germany,1976,Swimming,Swimming Women's 800 metres Freestyle,Gold
Germany,1972,Boxing,Boxing Men's Light-Middleweight,Bronze
Germany,1988,Athletics,Athletics Men's Shot Put,Gold
Belgium,2016,Swimming,Swimming Men's 100 metres Freestyle,Silver
Great Britain,2016,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
France,1984,Boxing,Boxing Men's Light-Middleweight,Bronze
Germany,1988,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Germany,1988,Gymnastics,Gymnastics Men's Rings,Bronze
Germany,1996,Athletics,Athletics Men's Pole Vault,Bronze
Italy,1984,Boxing,Boxing Men's Light-Flyweight,Silver
Germany,1972,Athletics,Athletics Women's Javelin Throw,Silver
Germany,2012,Judo,Judo Men's Heavyweight,Bronze
France,2004,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
France,1996,Fencing,"Fencing Men's Sabre, Individual",Bronze
France,1996,Judo,Judo Men's Half-Heavyweight,Bronze
France,2000,Judo,Judo Men's Half-Heavyweight,Bronze
Italy,1960,Cycling,"Cycling Men's Road Race, Individual",Silver
Germany,1992,Judo,Judo Men's Extra-Lightweight,Bronze
Germany,1996,Judo,Judo Men's Extra-Lightweight,Bronze
Germany,1976,Swimming,Swimming Women's 100 metres Backstroke,Silver
Germany,1976,Swimming,Swimming Women's 200 metres Backstroke,Silver
Germany,1980,Swimming,Swimming Women's 200 metres Backstroke,Bronze
France,1964,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
France,1968,Cycling,Cycling Men's Sprint,Bronze
France,1968,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Italy,1992,Fencing,"Fencing Women's Foil, Individual",Gold
Italy,1996,Fencing,"Fencing Women's Foil, Individual",Bronze
Italy,2000,Fencing,"Fencing Women's Foil, Individual",Bronze
Italy,2004,Fencing,"Fencing Women's Foil, Individual",Silver
France,1980,Fencing,"Fencing Women's Foil, Individual",Gold
Great Britain,2012,Cycling,Cycling Women's Omnium,Gold
Great Britain,2016,Cycling,Cycling Women's Omnium,Gold
Spain,2004,Sailing,Sailing Men's One Person Dinghy,Silver
Italy,2004,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver
Great Britain,1972,Boxing,Boxing Men's Bantamweight,Bronze
Italy,1968,Cycling,Cycling Men's Sprint,Silver
Great Britain,2012,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
Germany,2000,Cycling,"Cycling Men's Road Race, Individual",Gold
Germany,2000,Cycling,Cycling Men's Individual Time Trial,Silver
Germany,1996,Boxing,Boxing Men's Light-Heavyweight,Bronze
Germany,1980,Judo,Judo Men's Middleweight,Bronze
Germany,1952,Athletics,Athletics Men's 800 metres,Bronze
Spain,2012,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze
Germany,2016,Archery,Archery Women's Individual,Silver
Germany,1992,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
Germany,1996,Boxing,Boxing Men's Light-Welterweight,Silver
Germany,1960,Swimming,Swimming Women's 200 metres Breaststroke,Silver
Italy,1964,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Belgium,1976,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Italy,1984,Fencing,"Fencing Women's Foil, Individual",Bronze
Spain,2016,Weightlifting,Weightlifting Women's Heavyweight,Bronze
France,2016,Archery,Archery Men's Individual,Silver
Italy,1964,Boxing,Boxing Men's Middleweight,Bronze
Belgium,2012,Sailing,Sailing Women's One Person Dinghy,Bronze
Germany,1992,Swimming,Swimming Women's 100 metres Freestyle,Bronze
Germany,1992,Swimming,Swimming Women's 200 metres Freestyle,Silver
Germany,1996,Swimming,Swimming Women's 200 metres Freestyle,Silver
Belgium,2016,Cycling,"Cycling Men's Road Race, Individual",Gold
Belgium,1996,Judo,Judo Men's Heavyweight,Bronze
Belgium,1976,Athletics,Athletics Men's 800 metres,Silver
Belgium,1976,Athletics,"Athletics Men's 1,500 metres",Silver
Belgium,1980,Judo,Judo Men's Half-Heavyweight,Gold
Belgium,1988,Judo,Judo Men's Half-Heavyweight,Bronze
Spain,1992,Sailing,Sailing Men's One Person Dinghy,Gold
Belgium,2012,Judo,Judo Women's Extra-Lightweight,Bronze
Belgium,2016,Judo,Judo Men's Lightweight,Bronze
Belgium,1996,Judo,Judo Women's Half-Middleweight,Silver
Belgium,2000,Judo,Judo Women's Half-Middleweight,Bronze
Belgium,1960,Cycling,"Cycling Men's Road Race, Individual",Bronze
France,2000,Judo,Judo Women's Half-Middleweight,Gold
Germany,2016,Judo,Judo Women's Middleweight,Bronze
France,2000,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Spain,2000,Athletics,Athletics Women's 20 kilometres Walk,Bronze
France,2008,Boxing,Boxing Men's Light-Welterweight,Bronze
France,1984,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
France,1952,Boxing,Boxing Men's Featherweight,Bronze
Italy,1992,Shooting,Shooting Mixed Trap,Bronze
Germany,1968,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
Italy,1996,Fencing,"Fencing Women's Foil, Individual",Silver
Italy,2000,Fencing,"Fencing Women's Foil, Individual",Gold
Italy,2004,Fencing,"Fencing Women's Foil, Individual",Gold
Italy,2008,Fencing,"Fencing Women's Foil, Individual",Gold
Italy,2012,Fencing,"Fencing Women's Foil, Individual",Bronze
Spain,1996,Sailing,Sailing Women's Two Person Dinghy,Gold
Spain,1992,Sailing,Sailing Women's One Person Dinghy,Silver
France,1976,Judo,Judo Men's Half-Middleweight,Bronze
Italy,1968,Cycling,"Cycling Men's Road Race, Individual",Gold
Great Britain,1960,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Italy,2000,Boxing,Boxing Men's Super-Heavyweight,Bronze
France,1984,Athletics,Athletics Men's Pole Vault,Bronze
Italy,1952,Boxing,Boxing Men's Light-Welterweight,Bronze
Italy,2016,Cycling,Cycling Men's Omnium,Gold
Italy,2000,Athletics,Athletics Men's Hammer Throw,Silver
Germany,2012,Cycling,Cycling Women's Team Sprint,Gold
Germany,2016,Cycling,Cycling Women's Sprint,Gold
Germany,2016,Cycling,Cycling Women's Team Sprint,Bronze
Germany,1976,Athletics,Athletics Women's Long Jump,Gold
Germany,1996,Swimming,Swimming Women's 50 metres Freestyle,Bronze
Germany,1996,Swimming,Swimming Women's 100 metres Freestyle,Silver
Germany,1968,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze
Germany,1976,Shooting,"Shooting Mixed Free Pistol, 50 metres",Silver
Germany,1980,Shooting,"Shooting Mixed Free Pistol, 50 metres",Silver
Germany,1964,Fencing,"Fencing Women's Foil, Individual",Silver
Germany,1988,Athletics,Athletics Men's Decathlon,Silver
Germany,2000,Triathlon,Triathlon Men's Olympic Distance,Silver
Germany,1988,Athletics,Athletics Women's 800 metres,Silver
Germany,1988,Fencing,"Fencing Men's Foil, Individual",Silver
Germany,2008,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
Germany,1964,Athletics,Athletics Men's Decathlon,Bronze
Great Britain,2016,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Great Britain,2004,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
Germany,1996,Diving,Diving Women's Platform,Silver
Spain,2016,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Germany,1996,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
Germany,1976,Athletics,Athletics Men's Long Jump,Bronze
Germany,1992,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Germany,1992,Gymnastics,Gymnastics Men's Rings,Bronze
Germany,1992,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Germany,1996,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Germany,1988,Shooting,Shooting Mixed Skeet,Gold
Germany,1972,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Germany,1972,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
Germany,1976,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Germany,1988,Swimming,Swimming Women's 100 metres Butterfly,Silver
Germany,1988,Swimming,Swimming Women's 200 metres Butterfly,Silver
Germany,1988,Athletics,Athletics Men's 20 kilometres Walk,Silver
Germany,1988,Athletics,Athletics Men's 50 kilometres Walk,Silver
Germany,1992,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Great Britain,1956,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
Germany,1988,Weightlifting,Weightlifting Men's Heavyweight II,Bronze
Germany,1992,Weightlifting,Weightlifting Men's Heavyweight II,Gold
Germany,1996,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
Germany,2000,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
Great Britain,1980,Athletics,Athletics Men's 100 metres,Gold
Great Britain,1980,Athletics,Athletics Men's 200 metres,Silver
Great Britain,1984,Boxing,Boxing Men's Super-Heavyweight,Bronze
Germany,1976,Weightlifting,Weightlifting Men's Middleweight,Bronze
Belgium,1996,Judo,Judo Women's Half-Heavyweight,Gold
Germany,1952,Athletics,Athletics Women's Shot Put,Silver
Germany,1956,Athletics,Athletics Women's Shot Put,Bronze
Germany,1992,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Germany,1996,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
Germany,2000,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Germany,2008,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Germany,2016,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Germany,1980,Athletics,Athletics Men's High Jump,Gold
Great Britain,1984,Athletics,Athletics Women's Javelin Throw,Bronze
Great Britain,1988,Athletics,Athletics Women's Javelin Throw,Silver
Great Britain,2012,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Great Britain,2016,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Great Britain,2016,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Great Britain,2016,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Germany,1976,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Silver
Germany,1980,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Silver
Germany,1964,Swimming,Swimming Men's 400 metres Freestyle,Silver
Germany,1980,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Great Britain,2004,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Great Britain,2008,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Great Britain,2012,Cycling,Cycling Men's Individual Time Trial,Gold
Great Britain,1972,Swimming,Swimming Men's 200 metres Breaststroke,Silver
Great Britain,1976,Swimming,Swimming Men's 100 metres Breaststroke,Silver
Great Britain,1976,Swimming,Swimming Men's 200 metres Breaststroke,Gold
Great Britain,2004,Archery,Archery Women's Individual,Bronze
Great Britain,1980,Boxing,Boxing Men's Light-Welterweight,Bronze
Great Britain,2016,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
Great Britain,2012,Shooting,Shooting Men's Double Trap,Gold
Germany,1956,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Germany,1976,Athletics,Athletics Women's High Jump,Gold
Germany,1988,Athletics,Athletics Women's 800 metres,Gold
Germany,1988,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
Germany,1980,Swimming,Swimming Men's 100 metres Freestyle,Gold
Germany,2004,Cycling,Cycling Men's Sprint,Bronze
Germany,1968,Boxing,Boxing Men's Welterweight,Gold
Great Britain,1988,Boxing,Boxing Men's Light-Middleweight,Bronze
Great Britain,1968,Swimming,Swimming Men's 200 metres Butterfly,Silver
Germany,1980,Athletics,Athletics Women's Long Jump,Silver
Germany,1996,Athletics,Athletics Women's Discus Throw,Gold
Great Britain,2004,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
Spain,2012,Taekwondo,Taekwondo Women's Flyweight,Silver
France,1996,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
Germany,1992,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
France,2016,Boxing,Boxing Men's Super-Heavyweight,Gold
Germany,1960,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Italy,1960,Boxing,Boxing Men's Bantamweight,Silver
Germany,1996,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Italy,1964,Cycling,"Cycling Men's Road Race, Individual",Gold
Germany,1972,Athletics,Athletics Women's 400 metres,Gold
Germany,1956,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Germany,1960,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Spain,2000,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Germany,1952,Cycling,"Cycling Men's Road Race, Individual",Bronze
Germany,1988,Swimming,Swimming Women's 200 metres Backstroke,Silver
Germany,1976,Athletics,Athletics Women's 800 metres,Bronze
Germany,1976,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Germany,1968,Gymnastics,Gymnastics Women's Horse Vault,Silver
Germany,1972,Gymnastics,Gymnastics Women's Horse Vault,Silver
Germany,1972,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Germany,1988,Boxing,Boxing Men's Lightweight,Gold
